Date,Open,High,Low,Close
05/07/2021,"90.88","90.96","90.19","90.23"
05/06/2021,"91.27","91.38","90.88","90.95"
05/05/2021,"91.28","91.44","91.17","91.31"
05/04/2021,"91.00","91.40","90.99","91.29"
05/03/2021,"91.30","91.39","90.87","90.95"
04/30/2021,"90.63","91.32","90.59","91.28"
04/29/2021,"90.55","90.79","90.42","90.61"
04/28/2021,"90.90","91.13","90.55","90.61"
04/27/2021,"90.88","91.07","90.81","90.91"
04/26/2021,"90.86","90.99","90.68","90.81"
04/23/2021,"91.29","91.30","90.81","90.86"
04/22/2021,"91.11","91.42","91.00","91.33"
04/21/2021,"91.21","91.43","91.09","91.16"
04/20/2021,"91.05","91.28","90.86","91.24"
04/19/2021,"91.58","91.75","91.03","91.07"
04/16/2021,"91.66","91.81","91.49","91.56"
04/15/2021,"91.63","91.75","91.49","91.69"
04/14/2021,"91.83","91.83","91.57","91.69"
04/13/2021,"92.08","92.33","91.79","91.85"
04/12/2021,"92.18","92.33","92.01","92.14"
04/09/2021,"92.07","92.41","92.03","92.16"
04/08/2021,"92.42","92.48","92.00","92.06"
04/07/2021,"92.32","92.50","92.14","92.46"
04/06/2021,"92.57","92.79","92.27","92.34"
04/05/2021,"93.01","93.11","92.54","92.60"
04/02/2021,"92.89","93.07","92.83","93.01"
04/01/2021,"93.22","93.34","92.88","92.93"
03/31/2021,"93.24","93.44","92.99","93.23"
03/30/2021,"92.91","93.35","92.88","93.30"
03/29/2021,"92.74","92.96","92.72","92.94"
03/26/2021,"92.81","92.87","92.65","92.77"
03/25/2021,"92.60","92.92","92.51","92.53"
03/24/2021,"92.39","92.61","92.34","92.53"
03/23/2021,"91.80","92.40","91.76","92.34"
03/22/2021,"91.74","92.15","91.71","91.74"
03/19/2021,"91.83","92.17","91.66","91.92"
03/18/2021,"91.40","91.90","91.30","91.86"
03/17/2021,"91.86","92.00","91.37","91.44"
03/16/2021,"91.83","92.03","91.68","91.87"
03/15/2021,"91.68","91.97","91.54","91.83"
03/12/2021,"91.43","91.96","91.40","91.68"
03/11/2021,"91.79","91.88","91.37","91.42"
03/10/2021,"92.05","92.24","91.77","91.82"
03/09/2021,"92.46","92.50","91.91","91.96"
03/08/2021,"91.94","92.42","91.84","92.31"
03/05/2021,"91.66","92.19","91.62","91.98"
03/04/2021,"91.01","91.67","90.97","91.63"
03/03/2021,"90.79","91.06","90.63","90.95"
03/02/2021,"91.03","91.39","90.73","90.79"
03/01/2021,"90.93","91.14","90.69","91.04"
02/26/2021,"90.36","90.97","90.13","90.88"
02/25/2021,"90.07","90.29","89.68","90.13"
02/24/2021,"90.10","90.43","89.98","90.18"
02/23/2021,"90.02","90.26","89.94","90.17"
02/22/2021,"90.32","90.58","90.00","90.01"
02/19/2021,"90.57","90.65","90.18","90.36"
02/18/2021,"90.90","90.98","90.54","90.59"
02/17/2021,"90.71","91.06","90.62","90.95"
02/16/2021,"90.29","90.65","90.12","90.51"
02/15/2021,"90.42","90.47","90.27","90.37"
02/12/2021,"90.41","90.74","90.38","90.48"
02/11/2021,"90.46","90.47","90.26","90.42"
02/10/2021,"90.49","90.53","90.25","90.37"
02/09/2021,"90.91","90.93","90.43","90.44"
02/08/2021,"91.03","91.24","90.90","90.93"
02/05/2021,"91.49","91.49","91.04","91.04"
02/04/2021,"91.09","91.58","91.09","91.53"
02/03/2021,"91.05","91.31","90.99","91.17"
02/02/2021,"91.00","91.29","90.80","91.20"
02/01/2021,"90.53","91.06","90.50","90.98"
01/29/2021,"90.56","90.78","90.36","90.58"
01/28/2021,"90.73","90.86","90.41","90.46"
01/27/2021,"90.15","90.88","90.15","90.65"
01/26/2021,"90.39","90.61","90.12","90.17"
01/25/2021,"90.24","90.52","90.08","90.39"
01/22/2021,"90.05","90.31","90.05","90.24"
01/21/2021,"90.42","90.45","90.05","90.13"
01/20/2021,"90.41","90.70","90.28","90.48"
01/19/2021,"90.73","90.76","90.40","90.50"
01/18/2021,"90.76","90.95","90.71","90.77"
01/15/2021,"90.22","90.80","90.22","90.77"
01/14/2021,"90.28","90.58","90.08","90.24"
01/13/2021,"90.00","90.45","89.92","90.36"
