Date,Open,High,Low,Close
05/07/2020,"100.21","100.40","99.81","99.89"
05/06/2020,"99.80","100.20","99.75","100.09"
05/05/2020,"99.51","99.97","99.30","99.71"
05/04/2020,"98.57","99.60","99.09","99.48"
05/01/2020,"99.13","99.21","98.65","99.08"
04/30/2020,"99.48","99.73","98.81","99.02"
04/29/2020,"99.88","99.89","99.47","99.57"
04/28/2020,"100.06","100.21","99.45","99.87"
04/27/2020,"100.23","100.32","99.83","100.04"
04/24/2020,"100.50","100.87","100.19","100.38"
04/23/2020,"100.45","100.69","100.04","100.43"
04/22/2020,"100.21","100.50","99.90","100.39"
04/21/2020,"99.94","100.48","99.93","100.26"
04/20/2020,"99.71","100.07","99.65","99.96"
04/17/2020,"99.86","100.29","99.62","99.78"
04/16/2020,"99.63","100.30","99.61","100.03"
04/15/2020,"98.82","99.98","98.82","99.46"
04/14/2020,"99.38","99.43","98.83","98.89"
04/13/2020,"99.49","99.63","99.14","99.35"
04/10/2020,"99.58","99.63","99.37","99.52"
04/09/2020,"100.13","100.30","99.36","99.52"
04/08/2020,"99.91","100.43","99.90","100.12"
04/07/2020,"100.75","100.79","99.77","99.90"
04/06/2020,"100.66","100.93","100.48","100.69"
04/03/2020,"100.20","100.85","100.14","100.58"
04/02/2020,"99.51","100.41","99.34","100.18"
04/01/2020,"99.01","99.84","98.91","99.67"
03/31/2020,"99.25","99.95","98.89","99.05"
03/30/2020,"98.31","99.32","98.29","99.18"
03/27/2020,"99.29","99.81","98.27","98.37"
03/26/2020,"100.96","101.02","99.24","99.35"
03/25/2020,"101.60","101.91","100.84","101.05"
03/24/2020,"102.13","102.21","101.05","102.04"
03/23/2020,"101.95","102.98","101.65","102.49"
03/20/2020,"102.94","102.99","101.09","102.82"
03/19/2020,"100.79","102.94","100.77","102.76"
03/18/2020,"99.38","101.74","99.15","101.16"
03/17/2020,"98.14","99.83","97.98","99.58"
03/16/2020,"98.70","98.47","97.45","98.07"
03/13/2020,"97.45","98.81","97.34","98.75"
03/12/2020,"96.65","98.31","96.08","97.47"
03/11/2020,"96.33","96.69","95.91","96.51"
03/10/2020,"95.34","96.58","95.23","96.41"
03/09/2020,"96.11","95.79","94.65","94.90"
03/06/2020,"96.61","96.70","95.71","95.95"
03/05/2020,"97.38","97.44","96.52","96.82"
03/04/2020,"97.17","97.59","97.12","97.34"
03/03/2020,"97.56","97.70","96.98","97.15"
03/02/2020,"98.12","98.09","97.18","97.36"
02/28/2020,"98.42","98.66","97.96","98.13"
02/27/2020,"99.02","99.05","98.36","98.51"
02/26/2020,"99.08","99.27","98.91","99.00"
02/25/2020,"99.33","99.39","98.88","98.97"
02/24/2020,"99.34","99.64","99.11","99.36"
02/21/2020,"99.86","99.87","99.23","99.26"
02/20/2020,"99.54","99.91","99.53","99.87"
02/19/2020,"99.43","99.72","99.38","99.71"
02/18/2020,"99.19","99.47","99.14","99.44"
02/17/2020,"99.16","99.21","99.04","99.16"
02/14/2020,"99.12","99.17","99.00","99.12"
02/13/2020,"98.99","99.11","98.85","99.07"
02/12/2020,"98.77","99.05","98.71","99.05"
02/11/2020,"98.86","98.95","98.71","98.72"
02/10/2020,"98.70","98.88","98.60","98.83"
02/07/2020,"98.46","98.72","98.42","98.68"
02/06/2020,"98.29","98.57","98.21","98.50"
02/05/2020,"97.94","98.32","97.90","98.30"
02/04/2020,"97.82","98.01","97.79","97.96"
02/03/2020,"97.37","97.89","97.41","97.80"
01/31/2020,"97.87","97.97","97.35","97.39"
01/30/2020,"98.03","98.07","97.79","97.87"
01/29/2020,"97.95","98.19","97.94","97.99"
01/28/2020,"97.95","98.16","97.90","98.02"
01/27/2020,"97.88","98.00","97.78","97.96"
01/24/2020,"97.72","97.95","97.67","97.85"
01/23/2020,"97.48","97.80","97.43","97.69"
01/22/2020,"97.62","97.69","97.44","97.53"
01/21/2020,"97.63","97.66","97.39","97.53"
01/20/2020,"97.64","97.73","97.58","97.61"
01/17/2020,"97.31","97.66","97.27","97.61"
01/16/2020,"97.18","97.36","97.09","97.32"
01/15/2020,"97.38","97.44","97.16","97.23"
01/14/2020,"97.36","97.56","97.33","97.37"
01/13/2020,"97.35","97.53","97.31","97.35"
01/10/2020,"97.43","97.58","97.30","97.36"
01/09/2020,"97.27","97.56","97.25","97.45"
01/08/2020,"96.83","97.35","96.82","97.30"
01/07/2020,"96.65","97.09","96.62","97.01"
01/06/2020,"96.90","96.90","96.54","96.67"
01/03/2020,"96.79","97.11","96.71","96.84"
01/02/2020,"96.48","96.87","96.43","96.85"
01/01/2020,"96.50","97.10","96.42","96.50"
12/31/2019,"96.73","96.73","96.36","96.39"
12/30/2019,"97.02","97.00","96.61","96.74"
12/27/2019,"97.54","97.55","96.92","96.92"
12/26/2019,"97.63","97.71","97.49","97.53"
12/25/2019,"97.67","97.73","96.54","97.44"
12/24/2019,"97.66","97.80","97.62","97.65"
12/23/2019,"97.67","97.82","97.58","97.66"
12/20/2019,"97.40","97.76","97.38","97.69"
12/19/2019,"97.40","97.49","97.22","97.38"
12/18/2019,"97.24","97.48","97.22","97.40"
12/17/2019,"97.14","97.30","97.03","97.22"
12/16/2019,"97.18","97.16","96.93","97.02"
12/13/2019,"96.78","97.24","96.72","97.17"
12/12/2019,"97.08","97.52","96.59","97.40"
12/11/2019,"97.51","97.60","97.04","97.41"
12/10/2019,"97.65","97.66","97.40","97.41"
12/09/2019,"97.68","97.72","97.56","97.64"
12/06/2019,"97.38","97.84","97.36","97.70"
12/05/2019,"97.59","97.60","97.36","97.41"
12/04/2019,"97.71","97.79","97.43","97.65"
12/03/2019,"97.89","97.94","97.64","97.74"
12/02/2019,"98.27","98.38","97.81","97.86"
11/29/2019,"98.35","98.54","98.23","98.27"
11/28/2019,"98.34","98.40","98.26","98.37"
11/27/2019,"98.30","98.44","98.28","98.37"
11/26/2019,"98.33","98.38","98.23","98.25"
11/25/2019,"98.27","98.38","98.17","98.32"
11/22/2019,"97.93","98.31","97.84","98.27"
11/21/2019,"97.86","98.03","97.73","97.99"
11/20/2019,"97.85","98.04","97.85","97.93"
11/19/2019,"97.81","97.89","97.75","97.86"
11/18/2019,"97.98","97.98","97.68","97.79"
11/15/2019,"98.17","98.23","97.96","98.00"
11/14/2019,"98.34","98.42","98.11","98.16"
11/13/2019,"98.33","98.45","98.29","98.37"
11/12/2019,"98.21","98.42","98.21","98.31"
11/11/2019,"98.37","98.38","98.13","98.20"
11/08/2019,"98.14","98.40","98.10","98.35"
11/07/2019,"97.95","98.23","97.82","98.14"
11/06/2019,"97.94","97.98","97.78","97.95"
11/05/2019,"97.55","98.01","97.47","97.98"
11/04/2019,"97.22","97.58","97.17","97.51"
11/01/2019,"97.30","97.45","97.11","97.24"
10/31/2019,"97.44","97.45","97.22","97.35"
10/30/2019,"97.67","98.00","97.45","97.65"
10/29/2019,"97.76","97.93","97.61","97.69"
10/28/2019,"97.85","97.89","97.67","97.76"
10/25/2019,"97.69","97.90","97.57","97.83"
10/24/2019,"97.46","97.78","97.28","97.63"
10/23/2019,"97.49","97.65","97.42","97.49"
10/22/2019,"97.31","97.57","97.26","97.53"
10/21/2019,"97.34","97.40","97.15","97.33"
10/18/2019,"97.60","97.66","97.14","97.28"
10/17/2019,"97.99","98.11","97.50","97.61"
10/16/2019,"98.32","98.42","97.90","98.00"
10/15/2019,"98.45","98.65","98.21","98.29"
10/14/2019,"98.36","98.53","98.34","98.45"
10/11/2019,"98.70","98.74","98.20","98.30"
10/10/2019,"98.98","99.07","98.62","98.70"
10/09/2019,"99.09","99.16","98.90","99.12"
10/08/2019,"98.98","98.98","98.97","98.97"
10/07/2019,"98.82","99.01","98.74","98.97"
10/04/2019,"98.87","99.00","98.74","98.81"
10/03/2019,"99.03","99.19","98.64","98.86"
10/02/2019,"99.16","99.42","98.96","99.02"
10/01/2019,"99.40","99.67","99.07","99.13"
09/30/2019,"99.12","99.46","99.05","99.38"
09/27/2019,"99.19","99.31","98.99","99.11"
09/26/2019,"98.96","99.28","98.84","99.13"
09/25/2019,"98.38","99.06","98.36","99.04"
09/24/2019,"98.64","98.71","98.29","98.34"
09/23/2019,"98.51","98.83","98.45","98.60"
09/20/2019,"98.57","98.62","98.20","98.27"
09/19/2019,"98.57","98.62","98.20","98.27"
09/18/2019,"98.21","98.69","98.19","98.56"
09/17/2019,"98.65","98.74","98.19","98.26"
09/16/2019,"98.12","98.71","98.03","98.61"
09/13/2019,"98.41","98.43","97.86","98.26"
09/12/2019,"98.63","99.10","98.19","98.31"
09/11/2019,"98.33","98.75","97.86","98.65"
09/10/2019,"98.33","98.46","98.26","98.33"
09/09/2019,"98.42","98.51","98.14","98.28"
09/06/2019,"98.42","98.52","98.01","98.39"
09/05/2019,"98.40","98.54","98.09","98.41"
09/04/2019,"98.96","98.97","98.39","98.45"
09/03/2019,"99.08","99.37","98.92","99.00"
09/02/2019,"98.83","99.13","98.81","99.04"
08/30/2019,"98.43","99.02","98.41","98.92"
08/29/2019,"98.19","98.55","98.16","98.46"
08/28/2019,"98.01","98.26","98.00","98.21"
08/27/2019,"98.05","98.05","97.86","98.00"
08/26/2019,"97.59","98.09","97.48","98.08"
08/23/2019,"98.19","98.45","97.17","97.64"
08/22/2019,"98.25","98.39","98.08","98.17"
08/21/2019,"98.17","98.33","97.95","98.30"
08/20/2019,"98.36","98.45","98.12","98.19"
08/19/2019,"98.17","98.39","98.13","98.35"
08/16/2019,"98.13","98.34","98.11","98.14"
08/15/2019,"97.95","98.24","97.82","98.14"
08/14/2019,"97.80","98.05","97.67","97.99"
08/13/2019,"97.48","97.85","97.32","97.81"
08/12/2019,"97.54","97.74","97.32","97.38"
08/09/2019,"97.57","97.64","97.03","97.49"
08/08/2019,"97.60","97.74","97.43","97.62"
08/07/2019,"97.56","97.85","97.31","97.54"
08/06/2019,"97.25","97.77","97.21","97.63"
08/05/2019,"98.11","98.14","97.38","97.52"
08/02/2019,"98.41","98.45","98.05","98.07"
08/01/2019,"98.59","98.93","98.27","98.37"
07/31/2019,"98.03","98.68","98.01","98.52"
07/30/2019,"98.07","98.21","98.02","98.05"
07/29/2019,"97.99","98.17","97.90","98.04"
07/26/2019,"97.79","98.09","97.76","98.01"
07/25/2019,"97.69","97.92","97.50","97.82"
07/24/2019,"97.72","97.81","97.55","97.73"
07/23/2019,"97.30","97.74","97.30","97.71"
07/22/2019,"97.15","97.30","97.13","97.26"
07/19/2019,"96.82","97.29","96.76","97.15"
07/18/2019,"97.20","97.26","96.67","96.79"
07/17/2019,"97.36","97.44","97.16","97.22"
07/16/2019,"96.92","97.44","96.92","97.40"
07/15/2019,"96.84","96.97","96.75","96.93"
07/12/2019,"97.08","97.12","96.72","96.81"
07/11/2019,"97.06","97.15","96.80","97.05"
07/10/2019,"97.51","97.55","97.04","97.10"
