<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	1282.18	1288.70	1278.62	1284.31	278342	0	0
2019.01.02	06:00:00	1282.19	1284.04	1281.98	1283.88	11717	5858500	20
2019.01.02	07:00:00	1283.88	1286.43	1283.70	1286.20	17706	8853000	20
2019.01.02	08:00:00	1286.20	1287.32	1285.56	1285.80	18731	9365500	20
2019.01.02	09:00:00	1285.82	1286.43	1284.54	1285.39	22205	11102500	20
2019.01.02	10:00:00	1285.39	1288.58	1284.84	1288.03	33020	16510000	20
2019.01.02	11:00:00	1288.03	1288.70	1286.95	1287.01	23875	11937500	20
2019.01.02	12:00:00	1287.01	1287.85	1286.30	1287.31	18054	9027000	20
2019.01.02	13:00:00	1287.31	1287.63	1286.30	1286.39	19089	9544500	20
2019.01.02	14:00:00	1286.38	1286.38	1284.03	1285.48	24759	12379500	20
2019.01.02	15:00:00	1285.47	1287.23	1283.23	1284.22	38901	19450500	20
2019.01.02	16:00:00	1284.22	1285.08	1282.12	1283.58	37619	18809500	20
2019.01.02	17:00:00	1283.58	1287.00	1282.80	1285.73	42826	21413000	20
2019.01.02	18:00:00	1285.73	1287.64	1283.26	1285.18	33273	16636500	20
2019.01.02	19:00:00	1285.18	1286.49	1283.98	1284.01	26116	13058000	20
2019.01.02	20:00:00	1284.01	1284.03	1278.61	1279.31	25870	12935000	20
2019.01.02	21:00:00	1279.31	1281.52	1279.06	1281.50	17122	8561000	20
2019.01.02	22:00:00	1281.48	1283.22	1280.70	1283.10	15140	7570000	20
2019.01.02	23:00:00	1283.10	1284.88	1282.30	1284.31	9869	4934500	30
2019.01.03	00:00:00	1284.19	1294.90	1284.19	1293.96	386001	0	0
2019.01.03	01:00:00	1285.73	1290.13	1285.22	1285.80	18050	9025000	28
2019.01.03	02:00:00	1285.80	1287.33	1285.13	1286.65	16619	8309500	25
2019.01.03	03:00:00	1286.63	1288.51	1285.03	1288.26	24205	12102500	25
2019.01.03	04:00:00	1288.26	1289.62	1287.85	1288.44	20259	10129500	25
2019.01.03	05:00:00	1288.43	1288.82	1287.51	1287.88	13694	6847000	20
2019.01.03	06:00:00	1287.88	1288.77	1287.69	1288.33	9155	4577500	20
2019.01.03	07:00:00	1288.33	1290.21	1287.66	1289.96	18537	9268500	20
2019.01.03	08:00:00	1289.96	1292.24	1289.35	1292.04	19862	9931000	20
2019.01.03	09:00:00	1292.04	1292.28	1288.50	1289.61	31297	15648500	20
2019.01.03	10:00:00	1289.61	1290.64	1288.12	1289.63	33526	16763000	20
2019.01.03	11:00:00	1289.65	1289.69	1287.26	1288.07	23561	11780500	20
2019.01.03	12:00:00	1288.07	1288.79	1286.90	1288.13	22404	11202000	20
2019.01.03	13:00:00	1288.13	1288.23	1286.12	1287.13	22827	11413500	20
2019.01.03	14:00:00	1287.15	1289.16	1286.98	1287.99	21808	10904000	20
2019.01.03	15:00:00	1287.99	1290.04	1284.53	1287.68	41438	20719000	20
2019.01.03	16:00:00	1287.68	1289.16	1286.76	1287.63	36910	18455000	20
2019.01.03	17:00:00	1287.64	1291.29	1287.42	1289.73	55713	27856500	20
2019.01.03	18:00:00	1289.70	1290.83	1288.22	1289.19	45367	22683500	20
2019.01.03	19:00:00	1289.19	1290.86	1288.86	1290.35	30960	15480000	20
2019.01.03	20:00:00	1290.35	1292.95	1290.03	1291.07	27762	13881000	20
2019.01.03	21:00:00	1291.07	1293.40	1290.96	1293.31	19051	9525500	20
2019.01.03	22:00:00	1293.31	1294.86	1292.15	1294.86	24133	12066500	20
2019.01.03	23:00:00	1294.88	1294.88	1293.72	1293.96	9449	4724500	30
2019.01.04	00:00:00	1294.05	1298.48	1276.60	1284.67	367195	0	0
2019.01.04	01:00:00	1294.08	1295.19	1292.85	1295.12	22188	11094000	29
2019.01.04	02:00:00	1295.13	1297.03	1294.89	1296.82	48020	24010000	25
2019.01.04	03:00:00	1296.82	1298.48	1296.32	1296.92	55668	27834000	25
2019.01.04	04:00:00	1296.92	1298.02	1296.59	1296.69	39060	19530000	25
2019.01.04	05:00:00	1296.69	1296.82	1294.48	1295.51	37494	18747000	20
2019.01.04	06:00:00	1295.51	1295.61	1294.20	1294.42	28058	14029000	20
2019.01.04	07:00:00	1294.42	1296.25	1293.90	1295.43	33310	16655000	20
2019.01.04	08:00:00	1295.43	1295.73	1294.00	1294.19	31472	15736000	20
2019.01.04	09:00:00	1294.19	1295.04	1292.95	1294.44	54561	27280500	20
2019.01.04	10:00:00	1294.44	1295.25	1291.20	1291.66	56340	28170000	20
2019.01.04	11:00:00	1291.67	1292.51	1289.34	1289.98	51978	25989000	20
2019.01.04	12:00:00	1289.98	1291.08	1289.78	1291.08	40242	20121000	20
2019.01.04	13:00:00	1291.08	1292.07	1290.74	1291.24	29552	14776000	20
2019.01.04	14:00:00	1291.24	1291.65	1290.43	1291.09	33588	16794000	20
2019.01.04	15:00:00	1291.07	1291.68	1285.80	1287.67	109780	54890000	20
2019.01.04	16:00:00	1287.69	1287.75	1276.61	1277.79	107762	53881000	20
2019.01.04	17:00:00	1277.78	1284.53	1276.89	1283.48	109969	54984500	20
2019.01.04	18:00:00	1283.49	1285.72	1282.40	1285.49	84282	42141000	20
2019.01.04	19:00:00	1285.49	1286.11	1282.92	1284.30	58498	29249000	20
2019.01.04	20:00:00	1284.30	1285.10	1283.40	1283.41	50422	25211000	20
2019.01.04	21:00:00	1283.43	1284.45	1283.21	1284.28	47798	23899000	20
2019.01.04	22:00:00	1284.27	1285.78	1284.07	1284.87	36956	18478000	20
2019.01.04	23:00:00	1284.87	1285.20	1284.47	1284.67	14089	7044500	27
2019.01.07	00:00:00	1285.25	1295.01	1282.56	1288.91	308895	0	0
2019.01.07	01:00:00	1285.25	1286.30	1284.07	1284.15	9982	4991000	30
2019.01.07	02:00:00	1284.15	1284.91	1282.56	1284.86	16640	8320000	25
2019.01.07	03:00:00	1284.87	1289.72	1284.81	1288.82	25783	12891500	25
2019.01.07	04:00:00	1288.80	1289.42	1288.12	1289.20	16951	8475500	25
2019.01.07	05:00:00	1289.20	1289.58	1288.69	1288.76	14095	7047500	20
2019.01.07	06:00:00	1288.76	1289.51	1288.48	1288.78	13805	6902500	20
2019.01.07	07:00:00	1288.78	1291.66	1288.77	1291.40	15818	7909000	20
2019.01.07	08:00:00	1291.40	1291.90	1288.64	1289.67	20914	10457000	20
2019.01.07	09:00:00	1289.68	1291.71	1289.43	1291.31	27188	13594000	20
2019.01.07	10:00:00	1291.31	1292.35	1289.74	1290.79	26758	13379000	20
2019.01.07	11:00:00	1290.79	1291.59	1290.40	1291.30	21428	10714000	20
2019.01.07	12:00:00	1291.30	1292.01	1290.44	1290.83	18542	9271000	20
2019.01.07	13:00:00	1290.83	1291.43	1290.44	1290.85	15750	7875000	20
2019.01.07	14:00:00	1290.87	1292.91	1290.76	1292.20	19315	9657500	20
2019.01.07	15:00:00	1292.20	1295.01	1292.01	1292.30	33771	16885500	20
2019.01.07	16:00:00	1292.30	1293.00	1290.59	1291.09	37057	18528500	20
2019.01.07	17:00:00	1291.09	1291.90	1287.54	1288.80	44478	22239000	20
2019.01.07	18:00:00	1288.80	1288.89	1286.12	1287.69	33321	16660500	20
2019.01.07	19:00:00	1287.71	1288.52	1287.23	1288.20	20164	10082000	20
2019.01.07	20:00:00	1288.20	1288.95	1287.56	1288.15	19818	9909000	20
2019.01.07	21:00:00	1288.14	1288.55	1287.72	1288.31	15168	7584000	20
2019.01.07	22:00:00	1288.33	1288.83	1286.70	1288.72	17414	8707000	20
2019.01.07	23:00:00	1288.73	1289.06	1288.30	1288.91	5713	2856500	30
2019.01.08	00:00:00	1288.60	1290.17	1279.30	1285.03	299426	0	0
2019.01.08	01:00:00	1288.63	1289.56	1288.21	1288.82	6047	3023500	29
2019.01.08	02:00:00	1288.83	1289.04	1287.71	1289.02	15328	7664000	25
2019.01.08	03:00:00	1289.02	1290.17	1286.04	1286.21	25848	12924000	25
2019.01.08	04:00:00	1286.21	1287.05	1284.95	1285.17	20007	10003500	25
2019.01.08	05:00:00	1285.17	1285.62	1283.34	1283.77	18623	9311500	20
2019.01.08	06:00:00	1283.78	1283.90	1282.43	1282.93	15132	7566000	20
2019.01.08	07:00:00	1282.91	1283.15	1281.72	1282.96	16838	8419000	20
2019.01.08	08:00:00	1282.96	1284.71	1282.76	1283.30	18874	9437000	20
2019.01.08	09:00:00	1283.30	1283.31	1281.60	1282.65	26792	13396000	20
2019.01.08	10:00:00	1282.66	1283.71	1282.30	1283.00	24529	12264500	20
2019.01.08	11:00:00	1283.00	1284.01	1282.83	1283.40	18187	9093500	20
2019.01.08	12:00:00	1283.40	1283.78	1282.03	1283.48	21069	10534500	20
2019.01.08	13:00:00	1283.48	1283.57	1282.66	1283.22	14930	7465000	20
2019.01.08	14:00:00	1283.22	1284.03	1281.83	1282.36	20213	10106500	20
2019.01.08	15:00:00	1282.38	1282.98	1279.30	1280.63	36223	18111500	20
2019.01.08	16:00:00	1280.62	1286.04	1280.34	1284.88	36670	18335000	20
2019.01.08	17:00:00	1284.85	1286.25	1282.45	1284.95	39500	19750000	20
2019.01.08	18:00:00	1284.97	1285.11	1283.80	1284.34	29878	14939000	20
2019.01.08	19:00:00	1284.34	1286.93	1283.80	1286.34	23005	11502500	20
2019.01.08	20:00:00	1286.34	1286.83	1284.45	1284.87	21811	10905500	20
2019.01.08	21:00:00	1284.87	1285.28	1284.11	1284.99	11537	5768500	20
2019.01.08	22:00:00	1284.99	1285.22	1284.22	1285.19	14634	7317000	20
2019.01.08	23:00:00	1285.19	1285.40	1284.89	1285.03	5075	2537500	30
2019.01.09	00:00:00	1284.86	1293.81	1280.04	1292.86	296752	0	0
2019.01.09	01:00:00	1284.86	1285.14	1284.62	1285.08	5130	2565000	30
2019.01.09	02:00:00	1285.08	1286.08	1284.63	1285.25	14408	7204000	25
2019.01.09	03:00:00	1285.27	1287.06	1285.04	1285.73	20185	10092500	25
2019.01.09	04:00:00	1285.75	1286.09	1284.02	1284.03	17974	8987000	25
2019.01.09	05:00:00	1284.05	1284.37	1283.16	1283.24	14696	7348000	20
2019.01.09	06:00:00	1283.24	1283.24	1281.59	1282.10	13764	6882000	20
2019.01.09	07:00:00	1282.08	1283.25	1281.50	1282.49	15060	7530000	20
2019.01.09	08:00:00	1282.49	1282.93	1281.17	1282.17	16236	8118000	20
2019.01.09	09:00:00	1282.17	1283.57	1281.72	1282.35	21415	10707500	20
2019.01.09	10:00:00	1282.36	1283.29	1282.25	1282.70	19943	9971500	20
2019.01.09	11:00:00	1282.70	1282.75	1280.57	1281.07	20385	10192500	20
2019.01.09	12:00:00	1281.06	1281.60	1280.04	1280.80	17343	8671500	20
2019.01.09	13:00:00	1280.84	1281.70	1280.32	1281.57	15191	7595500	20
2019.01.09	14:00:00	1281.55	1281.63	1280.07	1281.47	15762	7881000	20
2019.01.09	15:00:00	1281.47	1285.45	1281.45	1284.57	30794	15397000	20
2019.01.09	16:00:00	1284.59	1289.74	1284.30	1288.25	41867	20933500	20
2019.01.09	17:00:00	1288.24	1291.72	1288.11	1290.03	48350	24175000	20
2019.01.09	18:00:00	1290.03	1290.74	1287.66	1288.49	37462	18731000	20
2019.01.09	19:00:00	1288.49	1289.88	1287.67	1289.77	22913	11456500	20
2019.01.09	20:00:00	1289.77	1291.70	1289.46	1290.77	23159	11579500	20
2019.01.09	21:00:00	1290.77	1293.40	1289.70	1291.64	34373	17186500	20
2019.01.09	22:00:00	1291.64	1293.81	1291.36	1293.58	19930	9965000	20
2019.01.09	23:00:00	1293.57	1293.67	1292.84	1292.86	6781	3390500	30
2019.01.10	00:00:00	1293.70	1297.01	1286.01	1286.17	295585	0	0
2019.01.10	01:00:00	1293.71	1293.82	1292.45	1292.90	14545	7272500	22
2019.01.10	02:00:00	1292.90	1293.46	1291.93	1293.11	35386	17693000	22
2019.01.10	03:00:00	1293.11	1293.64	1291.53	1292.54	57634	28817000	25
2019.01.10	04:00:00	1292.54	1294.81	1292.52	1294.68	38120	19060000	25
2019.01.10	05:00:00	1294.68	1297.01	1294.64	1296.88	45292	22646000	20
2019.01.10	06:00:00	1296.88	1296.99	1295.55	1295.65	30276	15138000	20
2019.01.10	07:00:00	1295.67	1296.74	1295.53	1296.22	32248	16124000	20
2019.01.10	08:00:00	1296.24	1296.74	1294.73	1295.08	35748	17874000	20
2019.01.10	09:00:00	1295.03	1296.47	1294.95	1295.31	49562	24781000	20
2019.01.10	10:00:00	1295.31	1296.94	1294.30	1294.38	49700	24850000	20
2019.01.10	11:00:00	1294.39	1294.62	1291.88	1292.93	21278	10639000	21
2019.01.10	12:00:00	1292.93	1293.27	1291.50	1292.93	21736	10868000	20
2019.01.10	13:00:00	1292.94	1294.28	1292.74	1293.04	35774	17887000	20
2019.01.10	14:00:00	1293.02	1293.87	1292.43	1293.87	37540	18770000	20
2019.01.10	15:00:00	1293.87	1294.56	1289.65	1289.77	70594	35297000	20
2019.01.10	16:00:00	1289.77	1292.30	1289.07	1291.70	76743	38371500	20
2019.01.10	17:00:00	1291.70	1292.22	1289.42	1290.02	73994	36997000	20
2019.01.10	18:00:00	1290.04	1290.05	1288.06	1288.93	62232	31116000	20
2019.01.10	19:00:00	1288.93	1289.19	1287.48	1287.88	48864	24432000	20
2019.01.10	20:00:00	1287.90	1288.69	1286.40	1287.77	59952	29976000	20
2019.01.10	21:00:00	1287.74	1287.87	1286.63	1287.45	33674	16837000	20
2019.01.10	22:00:00	1287.45	1287.46	1286.05	1286.22	23396	11698000	20
2019.01.10	23:00:00	1286.22	1286.67	1286.01	1286.17	13748	6874000	30
2019.01.11	00:00:00	1286.66	1295.08	1286.45	1287.50	286105	0	0
2019.01.11	01:00:00	1286.67	1288.00	1286.45	1287.91	23293	11646500	29
2019.01.11	02:00:00	1287.91	1288.60	1287.46	1287.89	43110	21555000	25
2019.01.11	03:00:00	1287.89	1290.16	1287.86	1289.78	67362	33681000	25
2019.01.11	04:00:00	1289.77	1291.30	1289.28	1290.99	52467	26233500	25
2019.01.11	05:00:00	1291.00	1291.64	1290.75	1291.26	38979	19489500	20
