Date,Open,High,Low,Close
05/08/2026,"98.25","98.28","97.83","97.90"
05/07/2026,"98.03","98.28","97.82","98.07"
05/06/2026,"98.31","98.34","97.63","98.02"
05/05/2026,"98.47","98.58","98.31","98.44"
05/04/2026,"98.05","98.54","97.97","98.37"
05/01/2026,"98.13","98.24","97.72","98.16"
04/30/2026,"98.85","99.09","98.01","98.06"
04/29/2026,"98.61","99.05","98.57","98.96"
04/28/2026,"98.47","98.87","98.43","98.64"
04/27/2026,"99.33","99.34","98.21","98.50"
04/24/2026,"98.82","98.92","98.49","98.53"
04/23/2026,"98.62","98.94","98.53","98.77"
04/22/2026,"98.40","98.64","98.21","98.59"
04/21/2026,"98.06","98.57","98.06","98.39"
04/20/2026,"98.28","98.40","98.01","98.10"
04/17/2026,"98.19","98.29","97.63","98.10"
04/16/2026,"98.01","98.29","97.83","98.22"
04/15/2026,"98.07","98.29","98.01","98.06"
04/14/2026,"98.37","98.41","97.97","98.12"
04/13/2026,"99.05","99.18","98.36","98.37"
04/10/2026,"98.87","99.01","98.54","98.65"
04/09/2026,"99.06","99.16","98.63","98.82"
04/08/2026,"98.95","99.18","98.53","99.13"
04/07/2026,"100.01","100.16","99.52","99.86"
04/06/2026,"100.18","100.29","99.76","99.98"
04/03/2026,"99.54","100.26","99.45","100.03"
04/02/2026,"99.54","100.26","99.45","100.03"
04/01/2026,"99.79","99.88","99.30","99.65"
03/31/2026,"100.59","100.64","99.81","99.96"
03/30/2026,"100.22","100.61","100.05","100.51"
03/27/2026,"99.87","100.21","99.80","100.15"
03/26/2026,"99.63","100.01","99.56","99.90"
03/25/2026,"99.20","99.67","99.07","99.60"
03/24/2026,"99.14","99.62","99.06","99.43"
03/23/2026,"99.68","100.15","98.88","98.95"
03/20/2026,"99.29","99.79","99.25","99.65"
03/19/2026,"100.23","100.31","98.98","99.23"
03/18/2026,"99.55","100.31","99.47","100.09"
03/17/2026,"99.86","100.12","99.50","99.58"
03/16/2026,"100.43","100.48","99.66","99.71"
03/13/2026,"99.69","100.54","99.59","100.36"
03/12/2026,"99.45","99.76","99.25","99.74"
03/11/2026,"98.94","99.30","98.70","99.23"
03/10/2026,"98.80","98.95","98.49","98.83"
03/09/2026,"98.86","99.70","98.70","99.18"
03/06/2026,"99.01","99.44","98.84","98.99"
03/05/2026,"98.77","99.41","98.67","99.32"
03/04/2026,"99.11","99.33","98.70","98.77"
03/03/2026,"98.56","99.68","98.44","99.05"
03/02/2026,"97.87","98.75","97.77","98.38"
02/27/2026,"97.75","97.85","97.56","97.61"
02/26/2026,"97.85","98.00","97.62","97.70"
02/25/2026,"97.85","98.00","97.62","97.70"
02/24/2026,"97.70","97.99","97.70","97.84"
02/23/2026,"97.70","97.85","97.36","97.71"
02/20/2026,"97.90","98.08","97.59","97.80"
02/19/2026,"97.73","98.07","97.57","97.93"
02/18/2026,"97.14","97.74","97.12","97.70"
02/17/2026,"97.12","97.55","97.07","97.16"
02/16/2026,"96.94","97.16","96.80","96.92"
02/13/2026,"96.94","97.16","96.80","96.92"
02/12/2026,"96.96","97.07","96.74","96.93"
02/11/2026,"96.91","97.27","96.49","96.83"
02/10/2026,"97.00","97.01","96.61","96.80"
